"method","K_true","separation","event_rate","n","n_reps","K_sel_accuracy","K_sel_mean","ARI_mean","cindex_full_mean","cindex_cv_mean","cindex_cox1_mean","cindex_gain","gamma_mean"
"gamma_cv_tuned",1,"high",0.25,117,25,0.84,1.24,NA,0.68,0.652,0.682,-0.002,0.33
"gamma_fixed_1",1,"high",0.25,117,25,0.56,1.56,NA,0.715,0.627,0.682,0.033,1
"gamma_cv_tuned",1,"high",0.44,117,25,0.92,1.16,NA,0.66,0.642,0.661,0,0.59
"gamma_fixed_1",1,"high",0.44,117,25,0.64,1.52,NA,0.688,0.633,0.661,0.027,1
"gamma_cv_tuned",1,"low",0.25,117,25,0.72,1.36,NA,0.67,0.661,0.635,0.035,0.33
"gamma_fixed_1",1,"low",0.25,117,25,0.64,1.48,NA,0.688,0.65,0.635,0.053,1
"gamma_cv_tuned",1,"low",0.44,117,25,0.84,1.24,NA,0.66,0.646,0.675,-0.015,0.59
"gamma_fixed_1",1,"low",0.44,117,25,0.76,1.28,NA,0.677,0.623,0.675,0.002,1
"gamma_cv_tuned",1,"med",0.25,117,25,0.64,1.52,NA,0.687,0.646,0.675,0.011,0.45
"gamma_fixed_1",1,"med",0.25,117,25,0.64,1.52,NA,0.71,0.634,0.675,0.035,1
"gamma_cv_tuned",1,"med",0.44,117,25,0.8,1.24,NA,0.703,0.663,0.654,0.048,0.55
"gamma_fixed_1",1,"med",0.44,117,25,0.68,1.48,NA,0.71,0.645,0.654,0.056,1
"gamma_cv_tuned",2,"high",0.25,117,25,0.4,1.4,0.62,0.701,0.697,0.655,0.046,0.28
"gamma_fixed_1",2,"high",0.25,117,25,0.44,1.6,0.63,0.747,0.681,0.655,0.092,1
"gamma_cv_tuned",2,"high",0.44,117,25,0.28,1.52,0.584,0.729,0.677,0.629,0.1,0.31
"gamma_fixed_1",2,"high",0.44,117,25,0.36,1.6,0.594,0.737,0.668,0.629,0.108,1
"gamma_cv_tuned",2,"low",0.25,117,25,0.16,1.24,0.023,0.616,0.627,0.637,-0.021,0.38
"gamma_fixed_1",2,"low",0.25,117,25,0.28,1.36,0.024,0.651,0.61,0.637,0.014,1
"gamma_cv_tuned",2,"low",0.44,117,25,0.16,1.16,0.036,0.656,0.642,0.625,0.031,0.58
"gamma_fixed_1",2,"low",0.44,117,25,0.32,1.4,0.042,0.698,0.633,0.625,0.073,1
"gamma_cv_tuned",2,"med",0.25,117,25,0.2,1.28,0.223,0.692,0.65,0.614,0.078,0.42
"gamma_fixed_1",2,"med",0.25,117,25,0.36,1.44,0.246,0.737,0.642,0.614,0.123,1
"gamma_cv_tuned",2,"med",0.44,117,25,0.32,1.4,0.18,0.677,0.629,0.617,0.06,0.51
"gamma_fixed_1",2,"med",0.44,117,25,0.4,1.48,0.26,0.688,0.615,0.617,0.071,1
"gamma_cv_tuned",3,"high",0.25,117,25,0.08,1.88,0.449,0.771,0.691,0.562,0.21,0.26
"gamma_fixed_1",3,"high",0.25,117,25,0.04,2,0.465,0.802,0.691,0.562,0.24,1
"gamma_cv_tuned",3,"high",0.44,117,25,0.04,1.96,0.277,0.745,0.72,0.551,0.194,0.06
"gamma_fixed_1",3,"high",0.44,117,25,0,1.92,NA,0.756,0.721,0.551,0.206,1
"gamma_cv_tuned",3,"low",0.25,117,25,0.04,1.28,0.117,0.66,0.617,0.615,0.045,0.38
"gamma_fixed_1",3,"low",0.25,117,25,0.04,1.56,0.071,0.687,0.587,0.615,0.072,1
"gamma_cv_tuned",3,"low",0.44,117,25,0.12,1.36,0.09,0.663,0.638,0.665,-0.002,0.35
"gamma_fixed_1",3,"low",0.44,117,25,0.12,1.48,0.089,0.673,0.631,0.665,0.009,1
"gamma_cv_tuned",3,"med",0.25,117,25,0.08,1.6,0.239,0.71,0.664,0.617,0.093,0.44
"gamma_fixed_1",3,"med",0.25,117,25,0.04,1.68,0.22,0.749,0.642,0.617,0.132,1
"gamma_cv_tuned",3,"med",0.44,117,25,0.12,1.96,0.174,0.714,0.694,0.625,0.089,0.17
"gamma_fixed_1",3,"med",0.44,117,25,0.16,2.08,0.247,0.755,0.694,0.625,0.13,1
