"K_true","separation","event_rate_target","n_reps","K_sel_accuracy","K_sel_mean","ARI_mean","cindex_full_mean","cindex_cv_mean","cindex_cox1_mean","cindex_gain_mean","gamma_mean","converge_rate"
1,"high",0.25,8,0.25,1.75,NA,0.8086,0.7358,0.7462,0.0624,0.25,1
1,"high",0.44,8,0.75,1.375,NA,0.7848,0.7435,0.7998,-0.015,0.125,1
1,"low",0.25,8,0.375,1.625,NA,0.8308,0.7179,0.7482,0.0826,0.375,1
1,"low",0.44,8,0.75,1.375,NA,0.7751,0.754,0.7792,-0.0042,0.125,1
1,"med",0.25,8,0.25,1.875,NA,0.8006,0.7438,0.7538,0.0468,0.375,1
1,"med",0.44,8,0.75,1.375,NA,0.7592,0.7207,0.7847,-0.0255,0.125,1
2,"high",0.25,8,0.25,1.5,0,0.7761,0.7403,0.7267,0.0494,0.25,1
2,"high",0.44,8,0.25,1.25,0,0.6959,0.6587,0.6812,0.0147,0.5,1
2,"low",0.25,8,0.5,1.5,-5e-04,0.7984,0.7592,0.7557,0.0428,0.25,1
2,"low",0.44,8,0.5,1.5,0.0154,0.7528,0.6844,0.6595,0.0932,0.3125,1
2,"med",0.25,8,0.5,1.5,-0.0026,0.7932,0.713,0.7186,0.0746,0.4375,1
2,"med",0.44,8,0.5,1.5,0.0502,0.7807,0.7273,0.7327,0.048,0.375,1
3,"high",0.25,8,0.125,1.5,0.0411,0.6406,0.6014,0.5,0.1406,0.5,1
3,"high",0.44,8,0.375,2.25,0.2175,0.7245,0.6233,0.5,0.2245,0.625,1
3,"low",0.25,8,0.125,1.75,0.0127,0.7698,0.7393,0.7372,0.0326,0.1875,1
3,"low",0.44,8,0,1.5,NA,0.7615,0.7103,0.7265,0.035,0.4375,1
3,"med",0.25,8,0,1.625,NA,0.6445,0.6545,0.5785,0.0659,0.0625,1
3,"med",0.44,8,0,1.625,NA,0.716,0.6701,0.6339,0.0821,0.3125,1
4,"high",0.25,8,0,1.875,NA,0.6043,0.6025,0.5233,0.081,0.5625,1
4,"high",0.44,8,0,1.625,NA,0.6148,0.5768,0.5,0.1148,0.5,1
4,"low",0.25,8,0,2.125,NA,0.7748,0.6932,0.6043,0.1706,0.5,1
4,"low",0.44,8,0,2,NA,0.7702,0.7068,0.6538,0.1164,0.4375,1
4,"med",0.25,8,0,1.625,NA,0.7041,0.618,0.5,0.2041,0.5,1
4,"med",0.44,8,0,1.5,NA,0.6287,0.5996,0.5232,0.1054,0.625,1
