"K_true","separation","event_rate_target","n","feat_corr","baseline_mode","n_reps","K_sel_accuracy","K_sel_mean","ARI_mean_given_correctK","cindex_cv_mean","cindex_full_mean","gamma_mean"
1,"high",0.3,117,0.2,"shared",12,0.5,1.66666666666667,NA,0.67211583105353,0.733835967857915,0.333333333333333
1,"high",0.444444444444444,117,0.2,"shared",12,0.75,1.33333333333333,NA,0.760001584574622,0.779522078965461,0.25
1,"low",0.3,117,0.2,"shared",12,0.583333333333333,1.41666666666667,NA,0.640539454109777,0.676196689537054,0.0833333333333333
1,"low",0.444444444444444,117,0.2,"shared",12,0.75,1.25,NA,0.776920815072138,0.811650812799804,0.375
1,"med",0.3,117,0.2,"shared",12,0.5,1.58333333333333,NA,0.685725853565629,0.742563793841114,0.375
1,"med",0.444444444444444,117,0.2,"shared",12,0.75,1.25,NA,0.772273499404332,0.801488873257034,0.458333333333333
2,"high",0.3,117,0.2,"shared",12,0.25,1.41666666666667,0,0.595589957569303,0.660309673365927,0.333333333333333
2,"high",0.444444444444444,117,0.2,"shared",12,0.833333333333333,1.83333333333333,-0.000371332301952588,0.695058049202221,0.716275266368002,0.166666666666667
2,"low",0.3,117,0.2,"shared",12,0.416666666666667,1.58333333333333,0,0.676530557176072,0.651400028417756,0.333333333333333
2,"low",0.444444444444444,117,0.2,"shared",12,0.166666666666667,1.16666666666667,0,0.799676050491028,0.819358420298346,0.416666666666667
2,"med",0.3,117,0.2,"shared",12,0.333333333333333,1.33333333333333,0,0.626984394815071,0.708434517361736,0.458333333333333
2,"med",0.444444444444444,117,0.2,"shared",12,0.416666666666667,1.75,0,0.71231081505426,0.741704606130773,0.208333333333333
3,"high",0.3,117,0.2,"shared",12,0,1.33333333333333,NA,0.579010690754332,0.614626905461458,0.0833333333333333
3,"high",0.444444444444444,117,0.2,"shared",12,0,1.41666666666667,NA,0.590682820292047,0.639615800916498,0.0833333333333333
3,"low",0.3,117,0.2,"shared",12,0,1.66666666666667,NA,0.647412835739255,0.729741240939245,0.166666666666667
3,"low",0.444444444444444,117,0.2,"shared",12,0.0833333333333333,1.58333333333333,0,0.693247349522132,0.735720010003653,0.333333333333333
3,"med",0.3,117,0.2,"shared",12,0,1.33333333333333,NA,0.619864712639266,0.700045590711388,0.25
3,"med",0.444444444444444,117,0.2,"shared",12,0.0833333333333333,1.66666666666667,0,0.668229449815319,0.751197429651813,0.291666666666667
